sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03462-E-20240509	e03462-E-20240509	1	e03462-E_S397_L001_R1_001.fastq.gz	e03462-E_S397_L001_R2_001.fastq.gz	32166	32166	31722	31722	31567	31567	27634	27594	27594
e03462-F-20240509	e03462-F-20240509	1	e03462-F_S480_L001_R1_001.fastq.gz	e03462-F_S480_L001_R2_001.fastq.gz	29661	29661	29208	29208	28410	28410	25999	25940	25940
e03463-D-20240509	e03463-D-20240509	1	e03463-D_S315_L001_R1_001.fastq.gz	e03463-D_S315_L001_R2_001.fastq.gz	35546	35546	35091	35091	34915	34915	33231	32768	32768
e03463-E-20240509	e03463-E-20240509	1	e03463-E_S398_L001_R1_001.fastq.gz	e03463-E_S398_L001_R2_001.fastq.gz	29838	29838	29412	29412	29184	29184	26308	25946	25946
e03463-F-20240509	e03463-F-20240509	1	e03463-F_S481_L001_R1_001.fastq.gz	e03463-F_S481_L001_R2_001.fastq.gz	32126	32126	31737	31737	31569	31569	30217	29675	29675
e03464-D-20240509	e03464-D-20240509	1	e03464-D_S316_L001_R1_001.fastq.gz	e03464-D_S316_L001_R2_001.fastq.gz	34057	34057	33554	33554	33431	33431	32425	32228	32226
e03464-E-20240509	e03464-E-20240509	1	e03464-E_S399_L001_R1_001.fastq.gz	e03464-E_S399_L001_R2_001.fastq.gz	26334	26334	25930	25930	25800	25800	23087	23042	23042
e03464-F-20240509	e03464-F-20240509	1	e03464-F_S482_L001_R1_001.fastq.gz	e03464-F_S482_L001_R2_001.fastq.gz	34779	34779	34296	34296	34148	34148	33071	32858	32858
e03465-D-20240509	e03465-D-20240509	1	e03465-D_S317_L001_R1_001.fastq.gz	e03465-D_S317_L001_R2_001.fastq.gz	45800	45800	45181	45181	45038	45038	43907	43345	43345
e03465-E-20240509	e03465-E-20240509	1	e03465-E_S400_L001_R1_001.fastq.gz	e03465-E_S400_L001_R2_001.fastq.gz	33233	33233	32804	32804	32683	32683	31426	30893	30893
e03465-F-20240509	e03465-F-20240509	1	e03465-F_S483_L001_R1_001.fastq.gz	e03465-F_S483_L001_R2_001.fastq.gz	36161	36161	35671	35671	35570	35570	34448	34365	34365
e03466-D-20240509	e03466-D-20240509	1	e03466-D_S370_L001_R1_001.fastq.gz	e03466-D_S370_L001_R2_001.fastq.gz	1150	1150	1125	1125	1116	1116	1077	1077	1076
e03466-E-20240509	e03466-E-20240509	1	e03466-E_S453_L001_R1_001.fastq.gz	e03466-E_S453_L001_R2_001.fastq.gz	9886	9886	9761	9761	9726	9726	8715	8712	8712
e03466-F-20240509	e03466-F-20240509	1	e03466-F_S536_L001_R1_001.fastq.gz	e03466-F_S536_L001_R2_001.fastq.gz	1475	1475	1437	1437	1265	1265	1199	1199	1199
e03467-D-20240509	e03467-D-20240509	1	e03467-D_S319_L001_R1_001.fastq.gz	e03467-D_S319_L001_R2_001.fastq.gz	35027	35027	34570	34570	34396	34396	30579	30178	30178
